#学号 平时 期末 总分 班级 学期
1810612066 98 99 99 21电子1 22春
2130612001 100 85 90 21电子1 22春
2130612002 96 75 81 21电子1 22春
2130612003 99 41 58 21电子1 22春
2130612004 100 93 95 21电子1 22春
2130612005 98 51 65 21电子1 22春
2130612006 95 61 71 21电子1 22春
2130612007 52 32 38 21电子1 22春
2130612008 98 41 58 21电子1 22春
2130612009 88 75 79 21电子1 22春
2130612010 91 60 69 21电子1 22春
2130612011 97 67 76 21电子1 22春
2130612012 98 45 61 21电子1 22春
2130612013 96 37 55 21电子1 22春
2130612014 94 73 79 21电子1 22春
2130612015 98 51 65 21电子1 22春
2130612016 95 39 56 21电子1 22春
2130612017 99 98 98 21电子1 22春
2130612018 97 55 68 21电子1 22春
2130612019 100 99 99 21电子1 22春
2130612020 87 20 40 21电子1 22春
2130612021 94 39 56 21电子1 22春
2130612022 100 87 91 21电子1 22春
2130612023 100 88 92 21电子1 22春
2130612024 97 57 69 21电子1 22春
2130612025 100 80 86 21电子1 22春
2130612026 96 32 51 21电子1 22春
2130612027 96 77 83 21电子1 22春
2130612028 94 45 60 21电子1 22春
2130612029 99 71 79 21电子1 22春
2130612031 97 83 87 21电子1 22春
2130612032 96 45 60 21电子1 22春
2130612033 91 41 56 21电子1 22春
2130612034 100 75 83 21电子1 22春
2130612035 90 73 78 21电子1 22春
2130612036 100 74 82 21电子1 22春
2130612037 97 49 63 21电子1 22春
2130612038 97 38 56 21电子1 22春
2130612039 94 73 79 21电子1 22春
2130612040 78 39 51 21电子1 22春
2130612041 94 51 64 21电子1 22春
2130612042 96 42 58 21电子1 22春
2130612043 99 80 86 21电子1 22春
2130612044 91 48 61 21电子1 22春
2130612045 94 23 44 21电子1 22春
2130722083 97 64 74 21电子1 22春
2130516001 91 26 46 21工程管理 22春
2130516002 96 14 39 21工程管理 22春
2130516003 100 84 89 21工程管理 22春
2130516004 100 72 80 21工程管理 22春
2130516005 98 54 67 21工程管理 22春
2130516006 95 16 40 21工程管理 22春
2130516007 98 57 69 21工程管理 22春
2130516008 94 60 70 21工程管理 22春
2130516009 100 64 75 21工程管理 22春
2130516010 91 72 78 21工程管理 22春
2130516011 94 37 54 21工程管理 22春
2130516012 97 67 76 21工程管理 22春
2130516013 100 42 59 21工程管理 22春
2130516014 99 64 75 21工程管理 22春
2130516015 99 47 63 21工程管理 22春
2130516016 94 51 64 21工程管理 22春
2130516017 100 67 77 21工程管理 22春
2130516018 99 77 84 21工程管理 22春
2130516019 98 55 68 21工程管理 22春
2130516020 98 80 85 21工程管理 22春
2130516021 95 52 65 21工程管理 22春
2130516022 95 54 66 21工程管理 22春
2130516023 95 51 64 21工程管理 22春
2130516024 99 85 89 21工程管理 22春
2130516025 94 72 79 21工程管理 22春
2130516026 99 67 77 21工程管理 22春
2130516029 96 37 55 21工程管理 22春
2130516030 97 76 82 21工程管理 22春
2130516031 87 56 65 21工程管理 22春
2130516032 98 86 90 21工程管理 22春
2130516033 98 76 83 21工程管理 22春
2130516034 94 40 56 21工程管理 22春
2130516035 100 58 71 21工程管理 22春
2130516036 93 61 71 21工程管理 22春
2130516037 100 76 83 21工程管理 22春
2130516038 100 74 82 21工程管理 22春
2130516039 100 47 63 21工程管理 22春
2130516040 98 62 73 21工程管理 22春
2130516041 99 81 86 21工程管理 22春
2130516042 91 20 41 21工程管理 22春
2130516043 98 49 64 21工程管理 22春
2130516044 90 70 76 21工程管理 22春
2130619001 100 81 87 21机械1 22春
2130619002 95 40 57 21机械1 22春
2130619003 96 51 65 21机械1 22春
2130619004 94 15 39 21机械1 22春
2130619005 100 77 84 21机械1 22春
2130619006 96 34 53 21机械1 22春
2130619007 84 14 35 21机械1 22春
2130619008 99 61 72 21机械1 22春
2130619009 77 16 34 21机械1 22春
2130619010 75 65 68 21机械1 22春
2130619011 94 63 72 21机械1 22春
2130619012 98 63 74 21机械1 22春
2130619013 96 48 62 21机械1 22春
2130619014 99 95 96 21机械1 22春
2130619015 75 26 41 21机械1 22春
2130619016 64 35 44 21机械1 22春
2130619017 95 76 82 21机械1 22春
2130619018 93 84 87 21机械1 22春
2130619019 72 24 38 21机械1 22春
2130619020 95 77 82 21机械1 22春
2130619021 100 65 76 21机械1 22春
2130619022 97 60 71 21机械1 22春
2130619024 99 30 51 21机械1 22春
2130619025 96 30 50 21机械1 22春
2130619026 80 54 62 21机械1 22春
2130619027 93 65 73 21机械1 22春
2130619028 94 39 56 21机械1 22春
2130619029 66 67 67 21机械1 22春
2130619030 92 75 80 21机械1 22春
2130619031 100 84 89 21机械1 22春
2130619032 94 62 72 21机械1 22春
2130619033 95 84 87 21机械1 22春
2130619034 90 85 87 21机械1 22春
2130619035 81 42 54 21机械1 22春
2130619036 99 30 51 21机械1 22春
2130619038 100 75 83 21机械1 22春
2130619039 97 89 91 21机械1 22春
2130619040 90 52 63 21机械1 22春
2130619041 94 45 60 21机械1 22春
2130619042 97 26 47 21机械1 22春
2130619043 98 61 72 21机械1 22春
2130619044 82 54 62 21机械1 22春
2130619045 100 65 76 21机械1 22春
2130619091 85 23 42 21机械1 22春
2130619046 99 42 59 21机械2 22春
2130619047 97 33 52 21机械2 22春
2130619048 99 59 71 21机械2 22春
2130619049 98 43 60 21机械2 22春
2130619050 99 73 81 21机械2 22春
2130619052 95 83 87 21机械2 22春
2130619053 95 37 54 21机械2 22春
2130619055 92 66 74 21机械2 22春
2130619056 95 50 64 21机械2 22春
2130619057 100 76 83 21机械2 22春
2130619058 68 69 69 21机械2 22春
2130619059 100 67 77 21机械2 22春
2130619060 91 94 93 21机械2 22春
2130619061 95 67 75 21机械2 22春
2130619062 100 93 95 21机械2 22春
2130619064 95 45 60 21机械2 22春
2130619065 99 85 89 21机械2 22春
2130619066 82 30 46 21机械2 22春
2130619067 97 60 71 21机械2 22春
2130619068 98 95 96 21机械2 22春
2130619069 97 42 59 21机械2 22春
2130619070 98 52 66 21机械2 22春
2130619071 98 38 56 21机械2 22春
2130619072 95 29 49 21机械2 22春
2130619073 99 65 75 21机械2 22春
2130619074 95 68 76 21机械2 22春
2130619075 100 51 66 21机械2 22春
2130619076 95 87 89 21机械2 22春
2130619077 91 72 78 21机械2 22春
2130619078 94 48 62 21机械2 22春
2130619079 95 94 94 21机械2 22春
2130619080 93 25 45 21机械2 22春
2130619081 96 69 77 21机械2 22春
2130619082 93 76 81 21机械2 22春
2130619083 96 61 72 21机械2 22春
2130619084 98 80 85 21机械2 22春
2130619085 86 23 42 21机械2 22春
2130619086 93 39 55 21机械2 22春
2130619087 95 78 83 21机械2 22春
2130619088 80 37 50 21机械2 22春
2130619089 93 82 85 21机械2 22春
2130619090 89 43 57 21机械2 22春
2030520019 96 51 65 20土木工程1 22春
2130726063 89 73 78 21数据1 22春
2130823001 94 62 72 21数据1 22春
2130823002 94 56 67 21数据1 22春
2130823003 67 33 43 21数据1 22春
2130823004 100 53 67 21数据1 22春
2130823005 99 85 89 21数据1 22春
2130823006 88 87 87 21数据1 22春
2130823007 98 58 70 21数据1 22春
2130823008 96 73 80 21数据1 22春
2130823009 91 45 59 21数据1 22春
